siteName,speciesName,Year
Leiden,Pyrrhosoma nymphula,2025
Leiden,Coenagrion puella,2025
Leiden,Libellula depressa,2025
Leiden,Sympetrum vulgatum,2025
Leiden,Gomphus pulchellus,2025
Leiden,Aeshna mixta,2025
Leiden,Leucorrhinia pectoralis,2025
Leiden,Erythromma viridulum,2025
Leiden,Libellula quadrimaculata,2025
Leiden,Pyrrhosoma nymphula,2025
Leiden,Coenagrion pulchellum,2025
Leiden,Libellula depressa,2025
Leiden,Erythromma najas,2025
Leiden,Sympetrum striolatum,2025
Leiden,Sympetrum striolatum,2025
Leiden,Pyrrhosoma nymphula,2025
Leiden,Libellula depressa,2025
Leiden,Libellula quadrimaculata,2025
Leiden,Libellula quadrimaculata,2025
Leiden,Ischnura pumilio,2025
Leiden,Enallagma cyathigerum,2025
Leiden,Anax imperator,2025
Leiden,Lestes sponsa,2025
Leiden,Aeshna mixta,2025
Leiden,Sympetrum vulgatum,2025
Leiden,Ischnura pumilio,2025
Leiden,Sympetrum meridionale,2025
Leiden,Ischnura pumilio,2025
Leiden,Libellula depressa,2025
Leiden,Aeshna grandis,2025
Leiden,Anax imperator,2025
Leiden,Aeshna mixta,2025
Leiden,Sympetrum vulgatum,2025
Leiden,Sympecma fusca,2025
Leiden,Libellula quadrimaculata,2025
Leiden,Sympecma fusca,2025
Leiden,Erythromma viridulum,2025
Leiden,Coenagrion lunulatum,2025
Leiden,Stylurus flavipes,2025
Leiden,Anax parthenope,2025
Leiden,Aeshna viridis,2025
Leiden,Libellula quadrimaculata,2025
Leiden,Enallagma cyathigerum,2025
Leiden,Ischnura pumilio,2025
Leiden,Orthetrum brunneum,2025
Leiden,Aeshna grandis,2025
Leiden,Calopteryx splendens,2025
Leiden,Erythromma najas,2025
Leiden,Leucorrhinia dubia,2025
Leiden,Platycnemis pennipes,2025
Leiden,Anax parthenope,2025
Leiden,Anax parthenope,2025
Leiden,Enallagma cyathigerum,2025
